Name ,Rating,Reviews,Size,Price,Downloads
Art & Design,4.1,159,19,99,10000
Art & Design,3.9,967,14,467,500000
Art & Design,4.7,87510,8.7,10,5000000
Art & Design,4.5,215644,25,79,50000000
Art & Design,4.3,967,2.8,79,100000
Art & Design,4.4,167,5.6,100,50000
Art & Design,3.8,178,19,129,50000
Art & Design,4.1,36815,29,135,1000000
Art & Design,4.4,13791,33,56,1000000
Art & Design,4.7,121,3.1,44,10000
Art & Design,4.4,13880,28,457,1000000
Art & Design,4.4,8788,12,1098,1000000
Art & Design,4.2,44829,20,0,10000000
Art & Design,4.6,4326,21,0,100000
Art & Design,4.4,1518,37,35,100000
Entertainment,3.2,55,2.7,66,5000
Entertainment,4.7,3632,5.5,49,500000
Entertainment,4.5,27,17,79,10000
Entertainment,4.3,194216,39,80,5000000
Entertainment,4.6,224399,31,79,10000000
Entertainment,4,450,14,90,100000
Entertainment,4.1,654,12,99,100000
Entertainment,4.7,7699,4.2,199,500000
Entertainment,0,61,7,249,100000
Entertainment,4.7,118,23,10,50000
Entertainment,4.8,192,6,5,10000
Entertainment,4.7,20260,25,49,500000
Entertainment,4.1,203,6.1,139,100000
Entertainment,3.9,136,4.6,120,10000
Entertainment,4.1,223,4.2,10,100000
Medical,4.2,1120,9.2,0,100000
Medical,4.1,227,5.2,0,50000
Medical,4.5,5035,11,0,100000
Medical,4.2,1015,11,0,100000
Medical,4.7,353,4.2,55,10000
Medical,3.8,564,9.2,65,100000
Medical,4.7,8145,24,70,500000
Medical,4.1,36639,24,30,5000000
Medical,4.7,158,11,89,10000
Medical,4,591,9.4,89,500000
Medical,4.2,117,15,99,10000
Medical,4.5,176,10,69,100000
Medical,4.4,295221,24,79,10000000
Medical,3.8,2206,1.2,59,100000
Medical,4.2,26,12,20,10000
Medical,4.7,174531,24,0,10000000
Productivity,4.6,1070,26,10,100000
Productivity,4.2,85,8,0,100000
Productivity,4.3,845,7.9,0,100000
Productivity,4.2,367,25,0,100000
Productivity,4,1598,56,10,1000000
Productivity,3.8,284,57,0,100000
Productivity,4.6,17057,25,0,1000000
Productivity,3.9,129,35,99,100000
